"","pitcher","p_throws.x","totalStrPct_before","totalBallPct_before","totalBIPPct_before","totalStrPct_after","totalBallPct_after","totalBIPPct_after","difference_totalBIP","difference_totalStr","difference_totalBall"
"83",476589,"R",0.416938110749186,0.436482084690554,0.146579804560261,0.464646464646465,0.414141414141414,0.121212121212121,-0.0253676833481393,0.047708353897279,-0.0223406705491396
"84",476594,"R",0.412087912087912,0.456043956043956,0.131868131868132,0.473684210526316,0.368421052631579,0.157894736842105,0.0260266049739735,0.0615962984384037,-0.0876229034123771
"85",477132,"L",0.51089588377724,0.317998385794996,0.171105730427764,0.478002378121284,0.340071343638526,0.18192627824019,0.0108205478124259,-0.0328935056559555,0.0220729578435296
"86",477569,"R",0.407407407407407,0.407407407407407,0.185185185185185,0.6,0.3,0.1,-0.0851851851851851,0.192592592592593,-0.107407407407407
"87",488748,"L",0.450901803607214,0.402805611222445,0.146292585170341,0.472222222222222,0.347222222222222,0.180555555555556,0.0342629703852149,0.0213204186150078,-0.0555833890002227
"88",488768,"R",0.433377308707124,0.385883905013193,0.180738786279683,0.40495867768595,0.415289256198347,0.179752066115702,-0.000986720163980936,-0.0284186310211736,0.0294053511851545
"89",489119,"L",0.440376569037657,0.389644351464435,0.169979079497908,0.429420505200594,0.401188707280832,0.169390787518574,-0.000588291979334299,-0.0109560638370626,0.011544355816397
"90",489265,"R",0.472681067344346,0.362134688691233,0.165184243964422,0.576271186440678,0.288135593220339,0.135593220338983,-0.0295910236254388,0.103590119096332,-0.0739990954708936
"91",489334,"R",0.445714285714286,0.361142857142857,0.193142857142857,0.494505494505495,0.318681318681319,0.186813186813187,-0.00632967032967025,0.0487912087912088,-0.0424615384615385
"92",489446,"R",0.549295774647887,0.330345710627401,0.120358514724712,0.375,0.5,0.125,0.00464148527528807,-0.174295774647887,0.169654289372599
"93",491646,"R",0.430851063829787,0.340425531914894,0.228723404255319,0.363636363636364,0.472727272727273,0.163636363636364,-0.0650870406189556,-0.0672147001934236,0.132301740812379
"94",493200,"R",0.505050505050505,0.313131313131313,0.181818181818182,0.5,0.35,0.15,-0.0318181818181817,-0.00505050505050508,0.0368686868686868
"95",493603,"R",0.469410456062291,0.403781979977753,0.126807563959956,0.5,0.388888888888889,0.111111111111111,-0.0156964528488444,0.0305895439377086,-0.0148930910888642
"96",500724,"R",0.431818181818182,0.318181818181818,0.25,0.173913043478261,0.521739130434783,0.304347826086957,0.0543478260869565,-0.257905138339921,0.203557312252964
"97",500779,"L",0.436383928571429,0.37890625,0.184709821428571,0.426512968299712,0.377521613832853,0.195965417867435,0.0112555964388638,-0.00987096027171674,-0.00138463616714696
"98",501381,"R",0.500438981562774,0.304653204565408,0.194907813871817,0.465677179962894,0.335807050092764,0.198515769944341,0.00360795607252395,-0.0347618015998801,0.0311538455273562
"99",501593,"L",0.442953020134228,0.409395973154362,0.147651006711409,0.5,0.5,0,-0.147651006711409,0.0570469798657718,0.0906040268456376
"100",501625,"L",0.482708933717579,0.334293948126801,0.18299711815562,0.391304347826087,0.41304347826087,0.195652173913043,0.0126550557574239,-0.0914045858914923,0.0787495301340684
"101",501789,"R",0.468671679197995,0.370927318295739,0.160401002506266,0.426229508196721,0.39344262295082,0.180327868852459,0.0199268663461933,-0.0424421710012737,0.0225153046550803
"102",501817,"R",0.333333333333333,0.533333333333333,0.133333333333333,0.333333333333333,0.444444444444444,0.222222222222222,0.088888888888889,0,-0.0888888888888889
"103",501925,"R",0.5,0.301075268817204,0.198924731182796,0.5,0.25,0.25,0.0510752688172043,0,-0.0510752688172043
"104",501985,"L",0.477463312368973,0.356394129979036,0.166142557651992,0.479374110953058,0.351351351351351,0.16927453769559,0.00313198004359871,0.00191079858408555,-0.00504277862768426
"105",502026,"R",0.475852272727273,0.355113636363636,0.169034090909091,0.466666666666667,0.333333333333333,0.2,0.030965909090909,-0.00918560606060603,-0.021780303030303
"106",502042,"R",0.5,0.358974358974359,0.141025641025641,0.46539027982327,0.384388807069219,0.150220913107511,0.00919527208186999,-0.0346097201767305,0.0254144480948605
"107",502043,"R",0.444186046511628,0.38953488372093,0.166279069767442,0.434359805510535,0.390599675850891,0.175040518638574,0.00876144887113184,-0.00982624100109308,0.00106479212996113
